query_id,food_id,page_content,rank,relevance_score
1,1196,"Món: Canh cua rau nhút.
Dinh dưỡng: 198 kcal, 25.5g đạm, 14.7g bột đường, 3.9g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin B12, Giàu Vitamin K, Giàu đạm, Hải sản, Món chính, Nhiều Cholesterol, Rau xanh, Ít calo, Ít chất béo bão hòa, Ít chất xơ, Ít tinh bột, Ít đường.
Nguyên liệu: Bột Ngọt, Cua Đồng, Dầu Ăn, Đường, Hành Tím, Hạt Nêm Ajingon Heo, Khoai Sọ, Nước Mắm, Rau Muống, Rau Nhút, Tiêu.
Cách làm: Cua đồng tách mai, lấy gạch để riêng. Giã thân cua, hòa với nước và lọc lấy nước cua. Phần gạch cua ướp với tiêu và hạt nêm. Khoai sọ cắt đôi. Rau muống, rau nhút cắt khúc. Đặt nồi lên bếp, cho dầu vào phi thơm hành tím, cho gạch cua vào đảo đều rồi đổ nước cua vào, nêm hạt nêm, đường, bột ngọt. Đun sôi cho váng cua nổi lên. Vớt váng cua ra. Tiếp tục cho khoai sọ vào nấu chín mềm. Cho rau muống, rau nhút vào và nêm thêm nước mắm. Chờ canh sôi trở lại, tắt lửa..",1,3
1,176,"Món: Đậu trộn dầu giấm xốt mè rang.
Dinh dưỡng: 433 kcal, 45.9g đạm, 50.4g bột đường, 5.9g béo.
Đặc điểm: Các loại hạt, Giàu Vitamin A, Giàu đạm, Nhiều Cholesterol, Nhiều tinh bột, Rau xanh, Ít chất béo bão hòa, Ít đường.
Nguyên liệu: Bắp Lon Nguyên Hạt, Cà Chua, Đậu Gà, Đậu Trắng, Hành Tây Tím, Mì Ý, Muối, Ngò Rí, Ớt Sừng, Tiêu, Ức Gà.
Cách làm: Đậu trắng, đậu gà, bắp hạt rửa sạch, để ráo. Ngò rí cắt nhỏ. Cho các loại đậu, bắp và hành tây vào thau ướp muối. Trút để ráo nước. Ướp gà với muối với một ít tiêu. Sau đó áp chảo mặt với dầu ô liu. Sau đó để nguội cắt hạt lựu. Cho tất cả thành phần vào trộn đều, sau đó cho ra đĩa..",2,2
1,1588,"Món: Canh gà nấu bông cải.
Dinh dưỡng: 152 kcal, 17.9g đạm, 7.3g bột đường, 5.7g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin C, Giàu Vitamin K, Giàu đạm, Món chính, Nhiều Cholesterol, Rau xanh, Thịt, Ít chất béo bão hòa, Ít tinh bột, Ít đường.
Nguyên liệu: Bông Cải Trắng, Bông Cải Xanh, Cà Rốt, Dầu Ăn, Hành Lá, Hành Tím, Hạt Nêm Ajingon Heo, Muối, Nước Mắm, Ngò Rí, Tiêu, Thịt Gà.
Cách làm: Thịt gà lóc xương lấy thịt, cắt khối vuông, ướp với đầu hành tím băm, tiêu và hạt nêm, để thấm. Xương nấu nước dùng. Bông cải trắng, xanh làm sạch, cắt thành những búp nhỏ. Cuống bông cải gọt vỏ, cắt xéo hình móng ngựa. Cà rốt cắt miếng. Hành lá cắt khúc ngắn Ngò rí cắt nhỏ. Đun nóng dầu, phi thơm đầu hành băm, cho thịt gà vào xào săn rồi cho qua nồi nước dùng, thêm cà rốt vào nấu khoảng phút thì cho cuống bông cải vào nấu gần chín, cho tiếp bông cải vào nấu chín, nêm hạt nêm, muối, bột ngọt và nước mắm. Cuối cùng cho hành lá vào và ít tiêu..",3,3
1,2241,"Món: Gỏi đu đủ.
Dinh dưỡng: 313 kcal, 22.6g đạm, 36.2g bột đường, 9.6g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin C, Giàu đạm, Món chính, Nhiều Cholesterol, Nhiều tinh bột, Rau xanh, Thịt, Trái cây, Ít chất béo bão hòa.
Nguyên liệu: Bánh Tráng Mè, Cà Rốt, Đậu Phộng, Đu Đủ Xanh, Đường, Giấm Gạo, Nước Mắm, Ớt, Rau Húng Lũi, Rau Răm, Tỏi, Thịt Ức Gà.
Cách làm: Đu đủ gọt vỏ, cắt làm đôi, sau đó cắt sợi, ngâm vào nước đá, để ráo, trộn với đường, để thấm rồi vắt bớt nước. Cà rốt cắt sợi. Tỏi, ớt bằm nhuyễn. ớt cắt sợi. Thịt gà luộc chín, vớt ra ngăm vào tô nước đá cho thịt săn lại, sau đó xé sợi. Rau răm, rau húng lủi cắt nhỏ. Đậu phộng giã nhỏ. Pha nước mắm trộn gỏi: trộn đều Giấm gạo lên men LISA với đường, nước mắm và tỏi, ớt băm. Trộn gỏi: cho đu, đủ, cà rốt, thịt gà, trộn với nước trộn gỏi. Sau đó cho thêm rau răm, rau húng lủi, lượng ớt, lượng đậu phộng vào tô, trộn đều với nước trộn gỏi còn lại..",4,2
1,1559,"Món: Canh cá rau đay.
Dinh dưỡng: 257 kcal, 40.5g đạm, 7.4g bột đường, 7.2g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin B12, Giàu đạm, Hải sản, Món chính, Nhiều Cholesterol, Rau xanh, Ít calo, Ít chất béo bão hòa, Ít chất xơ, Ít tinh bột, Ít đường.
Nguyên liệu: Cá Rô, Hành Tím, Hạt Nêm Ajingon Heo, Mướp Hương, Nước Mắm, Rau Đay, Tiêu.
Cách làm: Cá rô làm sạch, khứa dọc bên sống lưng, ướp với hạt nêm, nước mắm và tiêu, để thấm. Rau đay lặt rửa sạch, cắt nhỏ. Mướp hương gọt vỏ, cắt xéo. Hành tím băm nhỏ. Phi thơm hành tím, cho cá vào xào sơ rồi cho vào nồi có nước sôi, luộc chín, vớt ra, rỉa lấy thịt cá. Nêm vào nồi canh hạt nêm, cho rau đay vào nấu chín, cuối cùng cho mướp hương vào đảo nhẹ rồi tắt bếp..",5,3
1,146,"Món: Canh cá rau cần.
Dinh dưỡng: 197 kcal, 30.2g đạm, 7.5g bột đường, 4.9g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin B12, Giàu Vitamin K, Giàu đạm, Hải sản, Món chính, Nhiều Cholesterol, Nhạt muối, Rau xanh, Ít calo, Ít chất béo bão hòa, Ít chất xơ, Ít tinh bột, Ít đường.
Nguyên liệu: Bột Ngọt, Cà Chua, Cá Lóc, Dầu Ăn, Đường, Giấm Gạo, Hạt Nêm, Hạt Nêm Ajingon Heo, Mắm Cá Linh, Muối, Rau Cần.
Cách làm: Cá lóc lạng lấy thịt bên, cắt khúc cm. Xương cá đem nấu nước dùng cùng hành tím nướng. Nấu phút gạn lấy lít nước dùng. Cho đầu ăn phi đầu hành lá băm thơm lên, tắt lửa cho cá vào với Hạt nêm HEO ướp cá với đầu hành phi. Rau cần cắt khúc cm thân lá để riêng. Cà chua chẻ. Đun nước dùng cá cho sôi, nêm gia vị: muối, bột ngọt, Hạt nêm HEO, đường, giấm gạo lên men, cho cà chua và cá vào nấu. Cho thân rau cần vào nấu thêm phút, cho tiếp lá rau cần vào đảo đều. Tắt lửa, nêm thêm nước mắm..",6,3
1,1254,"Món: Canh cà chua nấu đậu.
Dinh dưỡng: 247 kcal, 19.8g đạm, 36.4g bột đường, 3.2g béo.
Đặc điểm: Các loại hạt, Giàu Vitamin A, Giàu đạm, Món chính, Nhiều Cholesterol, Nhiều tinh bột, Rau xanh, Thịt, Ít chất béo bão hòa, Ít đường.
Nguyên liệu: Bột Ngọt, Cà Chua, Đậu Que, Đậu Trắng, Hành Lá, Hành Tím, Nước Mắm, Thịt Nạc Dăm, Trứng Cút.
Cách làm: Thịt nạc dăm xay nhỏ, ướp với muối, đường, bột ngọt, hành tím băm, tiêu, để thấm. Vo viên tròn. Đậu que cắt xéo. Cà chua cắt múi. Đậu hũ trắng cắt khối vuông, chiên vàng. Hành lá, ngò rí cắt khúc. Đun nóng dầu ăn, cho hành tím băm vào phi thơm rồi cho cà chua vào xào với muối, đường, rồi thêm nước, nấu sôi, thả thịt vo viên vào, nấu sôi khoảng phút, thì cho đậu hũ và đậu que vào, nấu chín tới, nêm thêm muối, bột ngọt, đường, nước mắm, nếm vị vừa ăn, rắc hành lá, ngò rí vào đảo đều, tắt lửa. Đặt chảo nhỏ lên bếp, cho dầu, chiên ốp la quả trứng cút để riêng..",7,2
1,1941,"Món: Canh cá lóc rau cần.
Dinh dưỡng: 94 kcal, 13.2g đạm, 3.5g bột đường, 3.0g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin B12, Giàu Vitamin K, Giàu đạm, Hải sản, Món chính, Nhiều Cholesterol, Rau xanh, Ít calo, Ít chất béo bão hòa, Ít chất xơ, Ít tinh bột, Ít đường.
Nguyên liệu: Bột Ngọt, Cá Lóc, Dầu Ăn, Hành Tím, Muối, Nước Mắm, Rau Cần, Tiêu.
Cách làm: Cá làm sạch, luộc cá với nước sôi có nêm chút muối, gỡ lấy thịt cá, bỏ xương. Rau cần ngâm nước vo gạo, rửa sạch, cắt khúc vừa ăn Hành tím cắt lát, băm nhỏ. Phi thơm hành tím với dầu ăn, cho thịt cá vào và nêm chút muối, bột ngọt và tiêu, trộn đều, tắt lửa. Đun sôi nước luộc cá, cho cần vào nấu chín khoảng phút, tắt lửa, tiếp tục cho thịt cá vào, nêm thêm muối, bột ngọt, và nước mắm..",8,3
1,1922,"Món: Củ sen hấp thập cẩm.
Dinh dưỡng: 152 kcal, 12.8g đạm, 21.6g bột đường, 2.4g béo.
Đặc điểm: Giàu Vitamin A, Giàu đạm, Hải sản, Món chính, Nhiều Cholesterol, Nhiều tinh bột, Rau xanh, Thịt, Ít chất béo bão hòa, Ít đường.
Nguyên liệu: Bột Năng, Bột Ngọt, Cà Rốt, Củ Sen, Đường, Hành Lá, Hạt Nêm Ajingon Heo, Nấm Mèo, Nước Tương, Tôm, Thịt Chay.
Cách làm: Tôm bóc vỏ, bỏ đầu, chỉ lưng và băm nhỏ. Củ sen bào vỏ, cắt lát ngâm trong nước có bỏ thêm muối hoặc vắt chanh, Cà rốt băm nhỏ, nấm mèo ngâm nở, băm nhỏ, đầu hành lá băm nhỏ. Trộn đều tôm, thịt, nấm mèo, cà rốt, đầu hành lá, tiêu, bột năng, hạt nêm, muối, bột ngọt, để thấm. Thấm bột năng vào củ sen. Lần lượt cho nhân tôm thịt lên từng lát củ sen rồi đem hấp khoảng phút, là chín. Làm xốt: khuấy đều trên bếp nhỏ lửa hỗn hợp gồm dầu hào, nước, đường, nước tương LISA, bột năng, cuối cùng thêm dầu mè, tắt bếp..",9,1
1,1247,"Món: Đu đủ hường xào tôm đất.
Dinh dưỡng: 203 kcal, 24.0g đạm, 7.0g bột đường, 9.1g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin B12, Giàu đạm, Hải sản, Món chính, Nhiều Cholesterol, Rau xanh, Ít chất béo bão hòa, Ít chất xơ, Ít tinh bột, Ít đường.
Nguyên liệu: Bột Ngọt, Cá Hường, Cà Rốt, Dầu Ăn, Hành Lá, Hạt Nêm Ajingon Heo, Rau Răm, Tiêu, Tỏi, Tôm Đất.
Cách làm: Đu đủ hường, cà rốt bào sợi. Hành lá, rau răm cắt khúc. Tỏi đập dập. Tôm đất cắt bỏ đầu đuôi ướp vào tiêu, hạt nêm, bột ngọt, trộn đều, để phút cho thấm. Xào đu đủ: Phi thơm tỏi, cho tôm vào xào xào sơ, rồi cho đu đủ, cà rốt vào đảo đều, nêm hạt nêm, bột ngọt và ½ chén nước, xóc đều cho tôm và đu đủ chín tới, tắt lửa, cho hành lá và rau răm vào trộn đều..",10,2
2,1572,"Món: Gỏi rau nước tương.
Dinh dưỡng: 290 kcal, 13.4g đạm, 40.6g bột đường, 9.2g béo.
Đặc điểm: Giàu Vitamin A, Món chính, Rau xanh, Thịt, Thịt đỏ, Ít calo, Ít chất béo bão hòa, Ít chất xơ, Ít tinh bột.
Nguyên liệu: Bột Báng, Cà Rốt, Dầu Mè, Dưa Leo, Đường, Gừng, Giấm Gạo, Hành Tây, Hành Tím, Hạt Nêm Ajingon Heo, Kinh Giới, Mè Trắng, Nước Tương, Ngò Rí, Ớt, Ớt Bột, Rau Mầm, Tỏi, Tương Ớt, Thịt Nạc Dăm.
Cách làm: Thịt cắt sợi dày dài ướp với nước tương LISA, hạt nêm, tiêu, bột nghệ, bột ớt và hành tím băm, để thấm. Cà rốt và rau kinh giới cắt sợi nhỏ. Ngò rí cắt nhỏ. Dưa leo bỏ ruột, cắt sợi. Rau mầm rửa sạch, để ráo. Pha nước trộn gỏi: trộn đều nước tương LISA với Giấm gạo lên men LISA, tương ớt, dầu mè, hành tây băm, ngò rí và kinh giới băm, gừng băm, ớt băm, mè rang và nước lọc. Phi thơm tỏi, cho thịt vào nước xào chín, để nguội..",1,2
2,28,"Món: Salad trộn xốt phô mai cay.
Dinh dưỡng: 222 kcal, 16.6g đạm, 10.6g bột đường, 13.6g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin K, Nhiều Cholesterol, Nhạt muối, Rau xanh, Trứng, Ít calo, Ít chất xơ, Ít tinh bột, Ít đường.
Nguyên liệu: Cà Chua Bi, Dưa Leo, Phô Mai, Rau Xà Lách, Trứng.
Cách làm: Trứng luộc bóc vỏ, cắt lát. Các loại rau cắt miếng vừa ăn. Cà chua bi cắt đôi. Dưa leo cắt lát mỏng. Trộn đều xà lách, dưa leo, cà chua, để trong tủ mát..",2,2
2,2121,"Món: Dồi trường xào cải chua.
Dinh dưỡng: 119 kcal, 1.7g đạm, 13.0g bột đường, 7.1g béo.
Đặc điểm: Món chính, Nhiều muối, Rau xanh, Thịt, Ít Cholesterol, Ít calo, Ít chất béo bão hòa, Ít chất xơ, Ít tinh bột, Ít đạm, Đồ lên men.
Nguyên liệu: Bột Ngọt, Cải Chua, Dầu Ăn, Đường, Gừng, Hành Lá, Hành Tím, Nước Mắm, Ớt Sừng, Tỏi.
Cách làm: Dồi trường rửa sạch, chần qua nước sôi có một ít gừng đập dập. Vớt ra cắt khúc, ướp với tỏi băm, sa tế, đường, nước mắm ngon. Ớt sừng cắt quả trám, hành tím cắt đôi. Hành lá cắt khúc cm. Cải chua xả sạch, vắt ráo, cắt khúc ướp với đường, bột ngọt. Phi thơm tỏi và hành tím, cho dồi trường vào xào thơm, cho cải chua và ớt cắt sợi vào xào chín, tắt lửa..",3,2
2,935,"Món: Canh ếch lá giang.
Dinh dưỡng: 129 kcal, 14.0g đạm, 9.8g bột đường, 3.9g béo.
Đặc điểm: Giàu Vitamin A, Món chính, Rau xanh, Thịt, Ít calo, Ít chất béo bão hòa, Ít chất xơ, Ít tinh bột, Ít đường.
Nguyên liệu: Bột Canh, Cà Chua, Dầu Ăn, Đường, Lá Giang, Nước, Nước Mắm, Ớt Hiểm, Ớt Sừng, Rau Ngò Om, Sả Cây, Tỏi, Thịt Ếch.
Cách làm: Ướp thịt ếch với bột canh, sả băm, ớt băm. Tía tô, lá giang cắt Sả cây cắt khúc, đập giập. Cà chua cắt múi cau. Ớt sừng cắt lát. Phi thơm tỏi băm, cho sả cây đập dập và thịt ếch vào xào săn. Thêm nước dùng vào đun sôi. Nêm bột canh, đường, nước mắm, nếm vị vừa ăn. Thêm cà chua, cho lá giang vào nấu phút cho ra vị chua, thêm ớt sừng cắt lát và rau om, ngò gai..",4,3
2,1306,"Món: Salad bắp nướng.
Dinh dưỡng: 158 kcal, 16.1g đạm, 14.5g bột đường, 5.2g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin B12, Hải sản, Nhiều Cholesterol, Rau xanh, Trái cây, Ít calo, Ít chất béo bão hòa, Ít tinh bột, Ít đường.
Nguyên liệu: Bắp Mỹ, Bơ, Cà Chua Bi, Cần Tây, Chanh Vàng, Hành Lá, Hành Tây, Hạt Nêm Ajingon Heo, Tôm Sú, Tương Ớt.
Cách làm: Pha hỗn hợp gia vị gồm bơ mặn, dầu oliu, hạt nêm, hành lá, trộn đều. Bắp Mỹ cắt khúc, chẻ đôi, phết gia vị lên, cho vào lò nướng chín, lấy ra cắt lấy hạt. Tôm sú làm sạch, xẻ dọc sống lưng, ướp hạt nêm, nướng cùng với bắp vừa chín. Lột vỏ tôm, cắt hạt lựu. Bơ cắt hạt lựu. Cà chua bi cắt đôi. Vỏ chanh vàng cắt sợi lấy ruột vắt lấy nước. Cần tây cắt lát xéo. Hành tây cắt lát, ướp đá. Pha nước trộn: nước chanh vàng, đường, muối, tương ớt, ớt băm, ngò rí cắt nhỏ..",5,3
2,830,"Món: Salad dưa lê.
Dinh dưỡng: 274 kcal, 18.7g đạm, 16.2g bột đường, 15.6g béo.
Đặc điểm: Giàu Vitamin A, Giàu Vitamin B12, Giàu Vitamin C, Hải sản, Nhiều Cholesterol, Nhạt muối, Rau xanh, Trái cây, Ít calo, Ít chất xơ, Ít tinh bột.
Nguyên liệu: Cà Chua Bi, Cá Ngừ, Dầu Boaro Phi, Dưa, Mì Ý, Rau Húng Lũi, Rau Xà Lách, Sốt Mayonnaise, Sữa Tươi, Tắc, Tôm Sú.
Cách làm: Dưa lê gọt vỏ, bỏ hạt, cắt vuông giữ trong tủ mát. Cá ngừ chắt bớt dầu, dằm nhỏ. Cà chua bi cắt đôi. Xà lách cắt miếng vừa ăn. Húng lũi cắt nhỏ. Tôm sú luộc chín, bóc vỏ, cắt hạt lựu. Pha xốt: trộn đều xốt Mayonaise với sữa tươi, nước cốt tắc, sữa đặc và muối..",6,1
2,344,"Món: Lẩu cà ri nhúng.
Dinh dưỡng: 509 kcal, 13.6g đạm, 77.3g bột đường, 17.4g béo.
Đặc điểm: Lẩu, Món chính, Nhạt muối, Rau xanh, Thịt, Thịt đỏ, Ít calo, Ít chất béo bão hòa, Ít tinh bột, Ít đường, Ít đạm.
Nguyên liệu: Bột Cà Ri, Bột Năng, Bơ, Cà Rốt, Dầu Ăn, Dầu Điều, Hành Tây, Hạt Nêm, Khoai Tây, Mì Trứng, Nấm Linh Chi, Nước, Rau Cải Thìa, Tỏi.
Cách làm: Khoai tây gọt vỏ, rửa sạch, cắt khối Lấy lượng khoai tây đem hấp chín, ghiền mịn. Phần còn lại chiên sơ. Cà rốt bào vỏ, cắt khối, chiên sơ. Các loại nguyên liệu ăn kèm xiên que. Hành tây cắt múi cau. Bột năng pha với ít nước. Phi thơm dầu điều với tỏi băm, sau đó cho bơ lạt vào nấu tan, xào hành tây và bột cà ri cho thơm, thêm nước dùng vào nấu sôi, them khoai tây và khoai tây ghiền vào, nêm muối, đường, hạt nêm Gà, bột ngọt. cuối cùng thêm nước bột năng để tạo độ sánh vừa..",7,0
2,1087,"Món: Rau củ kho mía.
Dinh dưỡng: 202 kcal, 5.4g đạm, 24.8g bột đường, 9.3g béo.
Đặc điểm: Món chính, Rau xanh, Ít Cholesterol, Ít calo, Ít chất béo bão hòa, Ít tinh bột, Ít đạm.
Nguyên liệu: Bắp Cải, Cà Rốt, Cà Tím, Cải Chua, Chả Lụa Chay, Dầu Ăn, Đường, Hành, Hạt Nêm Ajingon Nấm, Khoai Tây, Mía Lau, Muối, Nước Dừa, Nước Tương Phú Sĩ, Ớt Sừng, Rượu Ngũ Vị Hương.
Cách làm: Cà rốt cắt khúc chẻ đôi. Khoai tây cắt vuông Cà tím cắt khúc chẻ làm tư, ngâm nước muối pha loãng. Bắp cải trắng cắt vuông cm. Cải chua cắt khúc Mía chặt khúc rồi chẻ mỏng. Chả lụa cắt khối tương đương rau củ. Ớt sừng cắt khúc. Bắt chảo dầu và chiên sơ cà rốt, khoai tây, cà tím Bắt chảo với dầu ăn, phi thơm hành boaro, cho mía vào lót bên dưới cùng với ớt sừng, thêm nước dừa vào, nêm nước màu dừa, bột ngũ vị hương, muối, hạt nêm Nấm hương và Hạt sen, đường, nước tương “Phú Sĩ”, rồi cho toàn bộ rau củ vào kho khoảng phút với lửa vừa, xốt trong chảo sánh cạn thì tắt lửa..",8,1
2,1602,"Món: Lẩu đậu tương.
Dinh dưỡng: 251 kcal, 16.5g đạm, 30.4g bột đường, 9.6g béo.
Đặc điểm: Các loại hạt, Lẩu, Món chính, Ít Cholesterol, Ít calo, Ít chất béo bão hòa, Ít chất xơ, Ít tinh bột, Ít đường.
Nguyên liệu: Bắp Mỹ, Bí, Bột Ngọt, Cà Rốt, Củ Sen, Dầu Boaro Phi, Đậu Hũ, Hạt Nêm Ajingon Nấm, Muối, Nấm Hương, Nước, Nước Tương Phú Sĩ, Ớt Hiểm, Rau Má, Tàu Hũ Ky, Tiêu, Tương Hột.
Cách làm: Nấm hương rửa sạch, đem ngâm nước vo gạo cho sạch. Củ sen cắt lát, ngâm nước có pha ít giấm. Hành boaro cắt lát, băm nhỏ. Cà rốt tỉa hoa cắt miếng li. Tàu hũ ki chiên vàng. Bắp mỹ, đậu hũ cắt lát. Ớt hiểm đập dập. Bò chay ngâm nước nóng. Tương hột tán sơ. Phi thơm hành boaro băm, cho nước dùng vào đun sôi, cho củ sen, bắp mỹ, cà rốt, bò chay, ớt hiểm đập dập vào nêm tương hột, hạt nêm hạt nêm từ nấm hương và hạt sen, bột ngọt và nước tương “Phú Sĩ”, cho nấm hương vào, nếm vị vừa ăn..",9,2
